fold,epoch,train_loss,val_f1
1,1,0.4761221835932394,0.7947732513451191
1,2,0.33901595862049444,0.8037676609105181
1,3,0.2513178018339741,0.8068006182380216
1,4,0.16940224262839304,0.7966101694915254
2,1,0.46259711731684805,0.7893462469733656
2,2,0.3462302409249341,0.8123552123552124
2,3,0.2704350819561894,0.8072190319934373
2,4,0.18621364724761233,0.8068269976726145
3,1,0.4553239458971449,0.7899022801302932
3,2,0.3347312023281425,0.7882632831086439
3,3,0.25555036089864613,0.7996870109546166
3,4,0.1780432865923158,0.7901234567901234
4,1,0.47002543401452185,0.7990970654627539
4,2,0.3415135187035783,0.8067632850241546
4,3,0.2524218205607,0.7928802588996764
4,4,0.18018865673815015,0.7987371744277821
5,1,0.46855625435905507,0.7933884297520661
5,2,0.3530850278462951,0.7919876733436055
5,3,0.28010940034519344,0.8018942383583267
5,4,0.21421012978052373,0.8015625
